Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,replied,features_and_capabilities,"Based on our documentation: ---
title: ""Claude Console roles and permissions""
title_slug: ""claude-console-roles-and-permissions""
source_url: ""https://support.claude.com/en/articles/10186004-claude-console-roles-and-permissions""
last_updated_iso: ""2026-04-08T16:57:17Z""
article_i... For complete details, please refer to claude-api-and-console\using-the-claude-api-and-console\10186004-claude-console-roles-and-permissions.md.",Documentation-based response from claude-api-and-console\using-the-claude-api-and-console\10186004-claude-console-roles-and-permissions.md,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,features_and_capabilities,This ticket has been escalated to our support team. Category: billing_dispute. A specialist will follow up shortly.,Escalated: Keyword detected: 'dispute',product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,escalated,account_management,This ticket has been escalated to our support team. Category: billing_dispute. A specialist will follow up shortly.,Escalated: Keyword detected: 'refund',product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,billing,This ticket has been escalated to our support team. Category: billing_dispute. A specialist will follow up shortly.,Escalated: Keyword detected: 'refund',bug
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,replied,billing,"Based on our documentation: ---
title: ""Mid-Level""
title_slug: ""mid-level""
source_url: ""https://support.hackerrank.com/articles/7483769801-mid-level""
article_slug: ""7483769801-mid-level""
last_updated_exact: ""Dec 13, 2024, 5:04 AM""
last_updated_relative: ""Last updated 1 year ago... For complete details, please refer to general-help\evaluation-guides\7483769801-mid-level.md.",Documentation-based response from general-help\evaluation-guides\7483769801-mid-level.md,bug
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,billing,"Based on our documentation: ---
title: ""Set Up HackerRank QuickApply""
title_slug: ""set-up-hackerrank-quickapply""
source_url: ""https://help.hackerrank.com/articles/7358354033-set-up-quick-apply""
article_slug: ""7358354033-set-up-quick-apply""
last_updated_exact: ""Mar 10, 2025, 12:... For complete details, please refer to hackerrank_community\additional-resources\job-search-and-applications\7358354033-set-up-quick-apply.md.",Documentation-based response from hackerrank_community\additional-resources\job-search-and-applications\7358354033-set-up-quick-apply.md,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,troubleshooting,"Based on our documentation: ---
title: ""Partner Guide to building an integration with HackerRank""
title_slug: ""partner-guide-to-building-an-integration-with-hackerrank""
source_url: ""https://support.hackerrank.com/articles/8660206242-partner-guide-to-building-an-integration-with... For complete details, please refer to integrations\getting-started-with-integrations\8660206242-partner-guide-to-building-an-integration-with-hackerrank.md.",Documentation-based response from integrations\getting-started-with-integrations\8660206242-partner-guide-to-building-an-integration-with-hackerrank.md,bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,replied,troubleshooting,"Based on our documentation: ---
title: ""Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges""
title_slug: ""weekly-challenges-accessing-weekly-challenges-leaderboard-evaluating-weekly-challenges-available-weekly-chall... For complete details, please refer to skillup\getting-started\7992263058-weekly-challenges.md.",Documentation-based response from skillup\getting-started\7992263058-weekly-challenges.md,bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,account_management,"Based on our documentation: ---
title: ""Errors in Test Reports for Coding Questions""
title_slug: ""errors-in-test-reports-for-coding-questions""
source_url: ""https://support.hackerrank.com/articles/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions""
a... For complete details, please refer to screen\test-reports\1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md.",Documentation-based response from screen\test-reports\1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md,bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,replied,tests_and_assessments,"Based on our documentation: ---
title: ""Mitigating Candidate Drop-Off""
title_slug: ""mitigating-candidate-drop-off""
source_url: ""https://support.hackerrank.com/articles/5269412517-mitigating-candidate-drop-off""
article_slug: ""5269412517-mitigating-candidate-drop-off""
last_update... For complete details, please refer to screen\best-practice-guides\5269412517-mitigating-candidate-drop-off.md.",Documentation-based response from screen\best-practice-guides\5269412517-mitigating-candidate-drop-off.md,feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit",Candidate inactivity help,HackerRank,replied,conversation_management,"Based on our documentation: ---
title: ""Professional Hire""
title_slug: ""professional-hire""
source_url: ""https://support.hackerrank.com/articles/2625349560-professional-hire""
article_slug: ""2625349560-professional-hire""
last_updated_exact: ""Dec 21, 2024, 12:37 AM""
last_updated_r... For complete details, please refer to general-help\evaluation-guides\2625349560-professional-hire.md.",Documentation-based response from general-help\evaluation-guides\2625349560-professional-hire.md,product_issue
"it’s not working, help",Help needed,nan,escalated,troubleshooting,I couldn't find specific documentation for your question. Please escalate for personalized support.,No matching documentation found in knowledge base,bug
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,replied,features_and_capabilities,"Based on our documentation: ---
title: ""Accessing Audit Logs""
title_slug: ""accessing-audit-logs""
source_url: ""https://support.hackerrank.com/articles/8979783963-accessing-audit-logs""
article_slug: ""8979783963-accessing-audit-logs""
last_updated_exact: ""Feb 13, 2025, 4:42 PM""
las... For complete details, please refer to settings\company-level-admin-settings\8979783963-accessing-audit-logs.md.",Documentation-based response from settings\company-level-admin-settings\8979783963-accessing-audit-logs.md,product_issue
