status,product_area,response,justification,request_type
replied,general_help,"Based on the provided support documentation: If you need any help navigating these new features, email us at support@hackerrank.com or contact your account manager. ## **Screen** ### Improved Automatic Question Replacement In the last release, a feature was introduced to automatically replace questions in a test with questions with similar difficulty levels and required skills. This ensures that the replaced question even more closely matches the original.",Routed using local corpus match in `hackerrank/general-help/release-notes/1189675016-october-2024-release-notes.md` plus related docs (3 retrieved).,product_issue
escalated,privacy_and_legal,"I’m escalating this to a human support specialist to ensure safe and accurate handling. Please share any additional details (timestamps, screenshots, account/workspace identifiers) to speed up resolution.",Platform outage reports should be escalated immediately.,bug
replied,general_help,"Based on the provided support documentation: As these workflows become standard, hiring and upskilling must evolve to assess not just outcomes, but how developers arrive at them. HackerRank’s January release strengthens how you assess real-world, AI-assisted development while protecting that signal at scale. Candidates now experience a consistent, modern environment across all question types with the new candidate site fully rolled out**,** and faster Code Repo assessments through quicker installs and builds.",Routed using local corpus match in `hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md` plus related docs (3 retrieved).,product_issue
replied,uncategorized,Based on the provided support documentation: Many companies use the HackerRank platform to conduct their campus hiring programs to select the right talent among them to suit your company's business requirements. The platform allows candidates to attend the hiring company's assessments and display their coding and technical skills to potential employers. It is a good practice to familiarize your Candidates with the HackerRank platform before your hiring process begins.,Routed using local corpus match in `hackerrank/uncategorized/9695299159-onboarding-candidates.md` plus related docs (3 retrieved).,product_issue
replied,hackerrank_community,"Based on the provided support documentation: Then, merge your existing account with the new one and set the new account as your primary login. **What should I do if I do not receive the activation email?** If you do not receive the activation email: - Check your **Spam or Junk** folder. - Verify that you entered the correct email address during sign-up.",Routed using local corpus match in `hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md` plus related docs (3 retrieved).,product_issue
replied,safeguards,"Based on the provided support documentation: These resources are designed to connect you with people who specialize in helping during difficult moments. ## Why am I seeing a crisis support message? Claude may show a banner with connections to crisis support resources when your conversation touches on topics that may be related to emotional distress, suicidal thoughts, or self-harm.",Routed using local corpus match in `claude/safeguards/13171706-crisis-helpline-support-in-claude.md` plus related docs (3 retrieved).,product_issue
replied,claude_in_chrome,"Based on the provided support documentation: This article explains the risks of using Claude in Chrome and provides best practices for protecting yourself and your data. Claude in Chrome allows Claude to interact directly with websites on your behalf, which carries inherent risks. Understanding these risks helps you use the extension safely.",Routed using local corpus match in `claude/claude-in-chrome/12902428-using-claude-in-chrome-safely.md` plus related docs (3 retrieved).,product_issue
replied,consumer,Based on the provided support documentation: You should immediately call the issuing bank. If you need to speak to a customer service representative you can do so. Outside these hours calls will be recorded and responded to the next business day.,Routed using local corpus match in `visa/support/consumer/travelers-cheques.md` plus related docs (3 retrieved).,product_issue
replied,general_support,"Based on the provided support documentation: Visa will not be responsible for any fees incurred. To log in to your credit card account, please visit your issuer or bank website. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card.",Routed using local corpus match in `visa/support.md` plus related docs (3 retrieved).,product_issue
replied,claude_for_nonprofits,"I am sorry, this is out of scope from my capabilities.",Ticket is unrelated to supported domains or does not require support action.,invalid
